Unit Size,Unit Name,Unit Type,Experience Level,Equipment,Command Structure,Logistics,Estimated Enemy Size,Enemy Unit Type Composition,Known Enemy Capabilities,Morale,Leadership,Mission Objective,Terrain Type,Weather Conditions,Time of Day,Civilian Presence,Supporting Arms,Enemy Movement,Rules of Engagement,Action Taken
5,Battalion,Special Forces,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Basic,34,Irregular Militia,Standard Equipment,Fanatical,Weak,Peacekeeping,Forest,Sandstorm,Dawn,None,Yes (Artillery & Close Air Support),Tactical Retreat,Observe and Report,9
10,Fire Team,Infantry,Rookie,Standard Issue,Centralized,Well-Supplied,303,Cyber Warfare,Advanced Communication,High,Weak,Counter-insurgency,Jungle,Extreme Cold,Dusk,None,Yes (Naval Gunfire),Guerrilla Tactics,Minimize Collateral Damage,5
530,Company,Combat Medic Team,Rookie,Medical Supplies,Centralized (Flexible),Basic,194,Mechanized Infantry,Improvised Explosive Devices (IEDs),Low,Strong,Counter-insurgency,Arctic,Thunderstorm,Day,High,Yes (Artillery),Infiltration,Observe and Report,1
604,Squad,Combat Medic Team,Rookie,Standard Issue,Centralized (Strict Hierarchy),Basic,56,Special Forces,Advanced Communication,Medium,Incompetent,Eliminate Enemy Force,Island,Extreme Cold,Dawn,Low,Yes (Artillery & Close Air Support),Encirclement,Minimize Collateral Damage,3
45,Company,Mechanized,Mixed,Specialized Gear,Decentralized,Minimal,272,Mechanized Infantry,Standard Equipment,Medium,Tactical Genius,Counter-insurgency,Arctic,Heavy Rain,Dusk,None,No,Static Defense,Weapons Free,4
418,Fire Team,Combat Medic Team,Mixed,Riot Gear,Decentralized (Limited Communication),Minimal,345,Guerrilla,Advanced Communication,Low,Tactical Genius,Secure Objective,Mountain,Heavy Rain,Dusk,Low,No,Patrolling,Observe and Report,4
13,Fire Team,Combat Medic Team,Elite,Medical Supplies,Centralized (Strict Hierarchy),Well-Supplied,238,Guerrilla,Standard Equipment,High,Strong,Secure Objective,Jungle,Sandstorm,Dawn,High,Yes (Air Support),Guerrilla Tactics,Return Fire Only,2
6,Squad,Mechanized,Elite,Riot Gear,Centralized,Adequate,75,Guerrilla,Standard Equipment,Low,Strong,Rescue/Evacuation,Island,Cloudy,Dusk,None,No,Patrolling,Observe and Report,8
8,Fire Team,Engineers,Mixed,Medical Supplies,Centralized (Flexible),Overstocked,429,Cyber Warfare,Sniper Teams,High,Incompetent,Infrastructure Protection,Rural,Thunderstorm,Day,Medium,Yes (Air Support),Guerrilla Tactics,Return Fire Only,5
10,Squad,Airborne,Mixed,Standard Issue,Centralized (Flexible),Basic,11,Mechanized Infantry,Standard Equipment,Fanatical,Weak,Infrastructure Protection,Arctic,Heavy Rain,Night,None,Yes (Air Support),Aggressive Push,Return Fire Only,3
561,Fire Team,Reconnaissance,Veteran,Advanced Weaponry,Centralized,Basic,409,Armored,Improvised Explosive Devices (IEDs),Fanatical,Weak,Secure Objective,Urban,Light Rain,Dawn,Low,Yes (Artillery),Static Defense,Weapons Free,1
11,Fire Team,Airborne,Veteran,Basic (Limited Ammo),Centralized (Flexible),Basic,288,Light Infantry,Advanced Communication,Medium,Charismatic Leader,Secure Objective,Rural,Blizzard,Night,Medium,Yes (Naval Gunfire),Guerrilla Tactics,Protect Civilians at All Costs,4
242,Squad,Special Forces,Elite,Standard Issue,Centralized,Basic,283,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Strong,Counter-insurgency,Suburban,Blizzard,Night,None,Yes (Artillery & Close Air Support),Guerrilla Tactics,Non-Lethal Force Only,6
16,Fire Team,Military Police,Veteran,Medical Supplies,Centralized,Minimal,210,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Weak,Peacekeeping,Coastal,Extreme Heat,Day,High,Yes (Artillery & Close Air Support),Encirclement,Minimize Collateral Damage,3
21,Fire Team,Combat Medic Team,Elite,Standard Issue,Decentralized,Well-Supplied,305,Special Forces,Advanced Communication,Fanatical,Weak,Secure Objective,Coastal,Blizzard,Dawn,Low,Yes (Artillery),Infiltration,Minimize Collateral Damage,9
201,Company,Mechanized,Elite,Standard Issue,Centralized,Overstocked,68,Irregular Militia,Advanced Communication,Fanatical,Charismatic Leader,Infrastructure Protection,Jungle,Extreme Cold,Night,Medium,No,Tactical Retreat,Weapons Free,2
20,Platoon,Reconnaissance,Veteran,Riot Gear,Decentralized,Overstocked,49,Special Forces,Standard Equipment,Medium,Tactical Genius,Secure Objective,Suburban,Extreme Heat,Dusk,Low,Yes (Naval Gunfire),Static Defense,Observe and Report,6
118,Battalion,Airborne,Veteran,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,494,Drone Operators,Improvised Explosive Devices (IEDs),Medium,Competent,Infrastructure Protection,Coastal,Thunderstorm,Night,Medium,Yes (Air Support),Guerrilla Tactics,Minimize Collateral Damage,3
175,Platoon,Reconnaissance,Veteran,Standard Issue,Decentralized (Limited Communication),Adequate,169,Drone Operators,Advanced Communication,Medium,Strong,Secure Objective,Forest,Fog,Night,High,No,Aggressive Push,Weapons Free,8
92,Platoon,Airborne,Veteran,Advanced Weaponry,Centralized (Strict Hierarchy),Minimal,335,Guerrilla,Improvised Explosive Devices (IEDs),Low,Strong,Reconnaissance,Island,Thunderstorm,Day,High,Yes (Artillery & Close Air Support),Encirclement,Protect Civilians at All Costs,6
42,Company,Engineers,Veteran,Standard Issue,Centralized (Strict Hierarchy),Basic,178,Mechanized Infantry,Standard Equipment,Low,Competent,Infrastructure Protection,Urban,Extreme Cold,Day,Medium,Yes (Naval Gunfire),Tactical Retreat,Protect Civilians at All Costs,7
26,Fire Team,Engineers,Veteran,Medical Supplies,Decentralized (Limited Communication),Basic,448,Cyber Warfare,Improvised Explosive Devices (IEDs),High,Incompetent,Rescue/Evacuation,Coastal,Cloudy,Dusk,Medium,Yes (Air Support),Patrolling,Observe and Report,5
226,Company,Armored,Rookie,Advanced Weaponry,Decentralized,Well-Supplied,116,Armored,Sniper Teams,Low,Competent,Secure Objective,Urban,Cloudy,Night,None,Yes (Air Support),Infiltration,Protect Civilians at All Costs,6
10,Company,Special Forces,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Minimal,486,Guerrilla,Improvised Explosive Devices (IEDs),High,Incompetent,Infrastructure Protection,Rural,Blizzard,Dawn,High,Yes (Air & Artillery),Infiltration,Minimize Collateral Damage,4
848,Company,Mechanized,Mixed,Standard Issue,Centralized,Basic,421,Irregular Militia,Advanced Communication,High,Incompetent,Eliminate Enemy Force,Rural,Light Rain,Day,High,Yes (Artillery & Close Air Support),Static Defense,Protect Civilians at All Costs,2
669,Squad,Mechanized,Mixed,Standard Issue,Centralized,Adequate,105,Armored,Improvised Explosive Devices (IEDs),Low,Weak,Rescue/Evacuation,Suburban,Snow,Dawn,Medium,Yes (Air & Artillery),Aggressive Push,Protect Civilians at All Costs,9
4,Squad,Mechanized,Rookie,Specialized Gear,Centralized (Flexible),Minimal,374,Irregular Militia,Improvised Explosive Devices (IEDs),Fanatical,Weak,Peacekeeping,Arctic,Snow,Dusk,None,Yes (Air & Artillery),Aggressive Push,Minimize Collateral Damage,2
115,Platoon,Airborne,Veteran,Advanced Weaponry,Centralized,Basic,241,Irregular Militia,Advanced Communication,High,Competent,Cyber Defense,Urban,Sandstorm,Dusk,High,Yes (Artillery),Patrolling,Minimize Collateral Damage,6
5,Battalion,Engineers,Elite,Basic (Limited Ammo),Decentralized (Limited Communication),Adequate,337,Irregular Militia,Improvised Explosive Devices (IEDs),Medium,Competent,Rescue/Evacuation,Mountain,Sandstorm,Day,High,Yes (Air & Artillery),Aggressive Push,Minimize Collateral Damage,8
12,Battalion,Combat Medic Team,Elite,Riot Gear,Decentralized,Basic,154,Guerrilla,Improvised Explosive Devices (IEDs),Fanatical,Tactical Genius,Peacekeeping,Suburban,Cloudy,Day,High,Yes (Naval Gunfire),Encirclement,Observe and Report,6
5,Platoon,Reconnaissance,Elite,Advanced Weaponry,Centralized (Flexible),Basic,285,Armored,Improvised Explosive Devices (IEDs),Fanatical,Weak,Cyber Defense,Urban,Blizzard,Dusk,Medium,Yes (Air & Artillery),Patrolling,Weapons Free,7
9,Squad,Reconnaissance,Elite,Medical Supplies,Decentralized (Limited Communication),Minimal,296,Special Forces,Standard Equipment,High,Tactical Genius,Reconnaissance,Coastal,Blizzard,Day,None,No,Static Defense,Protect Civilians at All Costs,6
10,Squad,Special Forces,Elite,Specialized Gear,Decentralized,Adequate,435,Drone Operators,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Cyber Defense,Suburban,Snow,Dusk,High,Yes (Air & Artillery),Encirclement,Weapons Free,5
10,Platoon,Reconnaissance,Rookie,Standard Issue,Decentralized (Limited Communication),Minimal,60,Irregular Militia,Standard Equipment,Medium,Tactical Genius,Counter-insurgency,Urban,Cloudy,Dusk,Low,Yes (Air & Artillery),Static Defense,Minimize Collateral Damage,1
6,Company,Reconnaissance,Veteran,Standard Issue,Centralized,Well-Supplied,211,Mechanized Infantry,Sniper Teams,Medium,Competent,Secure Objective,Mountain,Cloudy,Day,Low,Yes (Artillery),Patrolling,Weapons Free,5
5,Company,Military Police,Veteran,Medical Supplies,Decentralized (Limited Communication),Adequate,76,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Rescue/Evacuation,Urban,Extreme Heat,Night,Low,Yes (Artillery),Guerrilla Tactics,Observe and Report,9
695,Company,Reconnaissance,Veteran,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,326,Special Forces,Standard Equipment,Low,Strong,Eliminate Enemy Force,Urban,Sandstorm,Dawn,Low,Yes (Artillery & Close Air Support),Patrolling,Minimize Collateral Damage,5
31,Platoon,Combat Medic Team,Veteran,Advanced Weaponry,Centralized,Minimal,379,Armored,Advanced Communication,High,Charismatic Leader,Rescue/Evacuation,Island,Thunderstorm,Dusk,None,Yes (Artillery),Infiltration,Non-Lethal Force Only,9
10,Platoon,Reconnaissance,Elite,Riot Gear,Centralized (Strict Hierarchy),Basic,130,Special Forces,Improvised Explosive Devices (IEDs),Medium,Tactical Genius,Peacekeeping,Arctic,Light Rain,Day,Medium,Yes (Air & Artillery),Aggressive Push,Protect Civilians at All Costs,6
327,Platoon,Infantry,Veteran,Standard Issue,Decentralized (Limited Communication),Well-Supplied,397,Guerrilla,Standard Equipment,Fanatical,Weak,Reconnaissance,Suburban,Clear,Day,High,Yes (Air & Artillery),Guerrilla Tactics,Non-Lethal Force Only,4
120,Battalion,Reconnaissance,Elite,Basic (Limited Ammo),Centralized,Basic,343,Special Forces,Advanced Communication,Low,Charismatic Leader,Secure Objective,Urban,Heavy Rain,Day,Medium,Yes (Artillery),Guerrilla Tactics,Minimize Collateral Damage,8
4,Fire Team,Mechanized,Rookie,Riot Gear,Decentralized,Well-Supplied,89,Cyber Warfare,Sniper Teams,Low,Incompetent,Rescue/Evacuation,Suburban,Snow,Day,High,No,Encirclement,Weapons Free,6
13,Platoon,Special Forces,Elite,Specialized Gear,Decentralized,Minimal,264,Irregular Militia,Advanced Communication,High,Strong,Counter-insurgency,Jungle,Sandstorm,Night,None,Yes (Air & Artillery),Static Defense,Weapons Free,5
4,Squad,Reconnaissance,Elite,Advanced Weaponry,Centralized (Flexible),Minimal,390,Irregular Militia,Advanced Communication,High,Tactical Genius,Infrastructure Protection,Urban,Extreme Cold,Day,High,Yes (Air Support),Guerrilla Tactics,Minimize Collateral Damage,4
16,Fire Team,Mechanized,Rookie,Specialized Gear,Centralized,Basic,403,Mechanized Infantry,Advanced Communication,Medium,Strong,Counter-insurgency,Arctic,Fog,Day,Low,No,Static Defense,Weapons Free,6
47,Fire Team,Mechanized,Elite,Basic (Limited Ammo),Centralized,Well-Supplied,448,Light Infantry,Advanced Communication,Fanatical,Incompetent,Reconnaissance,Jungle,Extreme Heat,Night,High,Yes (Air Support),Tactical Retreat,Non-Lethal Force Only,2
37,Squad,Reconnaissance,Elite,Medical Supplies,Decentralized,Basic,355,Guerrilla,Standard Equipment,Medium,Competent,Infrastructure Protection,Desert,Cloudy,Dusk,Medium,Yes (Air Support),Static Defense,Weapons Free,6
4,Squad,Engineers,Rookie,Medical Supplies,Decentralized (Limited Communication),Well-Supplied,389,Mechanized Infantry,Standard Equipment,Low,Strong,Eliminate Enemy Force,Desert,Snow,Day,None,Yes (Naval Gunfire),Guerrilla Tactics,Protect Civilians at All Costs,5
19,Squad,Special Forces,Veteran,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,114,Irregular Militia,Advanced Communication,Medium,Incompetent,Reconnaissance,Suburban,Fog,Day,Low,No,Infiltration,Protect Civilians at All Costs,2
536,Company,Armored,Mixed,Standard Issue,Decentralized (Limited Communication),Well-Supplied,196,Cyber Warfare,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Eliminate Enemy Force,Arctic,Extreme Cold,Dawn,None,Yes (Air & Artillery),Tactical Retreat,Non-Lethal Force Only,8
214,Fire Team,Engineers,Mixed,Specialized Gear,Decentralized (Limited Communication),Basic,122,Cyber Warfare,Standard Equipment,Medium,Charismatic Leader,Counter-insurgency,Forest,Fog,Night,None,Yes (Artillery & Close Air Support),Patrolling,Observe and Report,9
13,Platoon,Armored,Elite,Medical Supplies,Decentralized (Limited Communication),Minimal,45,Drone Operators,Standard Equipment,Low,Weak,Eliminate Enemy Force,Forest,Cloudy,Dawn,Medium,Yes (Artillery),Tactical Retreat,Weapons Free,2
469,Fire Team,Combat Medic Team,Elite,Standard Issue,Centralized (Strict Hierarchy),Adequate,39,Armored,Sniper Teams,Low,Weak,Cyber Defense,Coastal,Thunderstorm,Night,Medium,Yes (Air & Artillery),Infiltration,Observe and Report,5
6,Squad,Armored,Mixed,Advanced Weaponry,Centralized,Well-Supplied,177,Special Forces,Advanced Communication,High,Weak,Infrastructure Protection,Desert,Thunderstorm,Dusk,Low,No,Static Defense,Return Fire Only,2
11,Company,Mechanized,Mixed,Medical Supplies,Decentralized,Well-Supplied,322,Light Infantry,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Reconnaissance,Island,Extreme Heat,Day,None,Yes (Artillery),Aggressive Push,Weapons Free,9
5,Fire Team,Military Police,Mixed,Advanced Weaponry,Centralized (Flexible),Minimal,96,Drone Operators,Advanced Communication,High,Strong,Cyber Defense,Jungle,Extreme Cold,Dusk,High,Yes (Artillery & Close Air Support),Patrolling,Return Fire Only,9
4,Battalion,Infantry,Rookie,Basic (Limited Ammo),Decentralized,Adequate,79,Armored,Improvised Explosive Devices (IEDs),Low,Incompetent,Peacekeeping,Arctic,Thunderstorm,Day,High,Yes (Artillery),Static Defense,Return Fire Only,7
111,Company,Combat Medic Team,Mixed,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,53,Special Forces,Improvised Explosive Devices (IEDs),Low,Charismatic Leader,Rescue/Evacuation,Jungle,Extreme Heat,Day,Low,Yes (Artillery & Close Air Support),Aggressive Push,Observe and Report,2
36,Battalion,Military Police,Rookie,Advanced Weaponry,Centralized (Strict Hierarchy),Minimal,204,Armored,Advanced Communication,Fanatical,Weak,Counter-insurgency,Forest,Blizzard,Day,Medium,Yes (Naval Gunfire),Static Defense,Minimize Collateral Damage,4
585,Battalion,Mechanized,Mixed,Specialized Gear,Centralized (Flexible),Well-Supplied,379,Drone Operators,Standard Equipment,Fanatical,Incompetent,Peacekeeping,Rural,Sandstorm,Night,Medium,Yes (Artillery),Patrolling,Observe and Report,8
8,Platoon,Armored,Elite,Riot Gear,Centralized (Flexible),Well-Supplied,398,Mechanized Infantry,Standard Equipment,Low,Incompetent,Secure Objective,Suburban,Cloudy,Night,Medium,No,Patrolling,Protect Civilians at All Costs,9
43,Battalion,Armored,Elite,Standard Issue,Centralized (Flexible),Adequate,456,Special Forces,Advanced Communication,Low,Weak,Cyber Defense,Rural,Extreme Heat,Night,None,No,Tactical Retreat,Minimize Collateral Damage,4
998,Fire Team,Combat Medic Team,Veteran,Basic (Limited Ammo),Centralized (Strict Hierarchy),Basic,48,Light Infantry,Standard Equipment,Fanatical,Tactical Genius,Peacekeeping,Mountain,Clear,Day,Low,Yes (Air Support),Infiltration,Return Fire Only,7
13,Platoon,Armored,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Adequate,273,Cyber Warfare,Advanced Communication,Low,Incompetent,Counter-insurgency,Urban,Extreme Cold,Dusk,Low,Yes (Artillery),Infiltration,Weapons Free,5
6,Fire Team,Military Police,Mixed,Advanced Weaponry,Decentralized,Basic,226,Armored,Sniper Teams,Low,Weak,Rescue/Evacuation,Jungle,Clear,Dawn,Low,Yes (Artillery & Close Air Support),Tactical Retreat,Non-Lethal Force Only,2
428,Platoon,Reconnaissance,Mixed,Medical Supplies,Decentralized (Limited Communication),Well-Supplied,78,Armored,Advanced Communication,High,Competent,Peacekeeping,Arctic,Heavy Rain,Day,None,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,3
35,Company,Airborne,Mixed,Riot Gear,Decentralized,Well-Supplied,177,Armored,Sniper Teams,Medium,Tactical Genius,Reconnaissance,Desert,Snow,Dawn,Medium,No,Tactical Retreat,Observe and Report,8
13,Battalion,Armored,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Basic,448,Special Forces,Standard Equipment,High,Incompetent,Eliminate Enemy Force,Rural,Extreme Cold,Day,Medium,Yes (Naval Gunfire),Infiltration,Protect Civilians at All Costs,4
9,Company,Reconnaissance,Mixed,Specialized Gear,Centralized,Minimal,454,Armored,Improvised Explosive Devices (IEDs),Low,Tactical Genius,Cyber Defense,Arctic,Snow,Day,High,Yes (Air & Artillery),Static Defense,Minimize Collateral Damage,9
6,Company,Airborne,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Adequate,450,Special Forces,Advanced Communication,High,Tactical Genius,Reconnaissance,Urban,Clear,Day,Low,Yes (Artillery & Close Air Support),Tactical Retreat,Return Fire Only,2
366,Company,Armored,Elite,Riot Gear,Decentralized,Basic,14,Guerrilla,Improvised Explosive Devices (IEDs),Medium,Weak,Rescue/Evacuation,Rural,Snow,Dusk,High,No,Static Defense,Return Fire Only,6
99,Battalion,Mechanized,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,473,Armored,Standard Equipment,High,Incompetent,Infrastructure Protection,Mountain,Sandstorm,Night,High,Yes (Naval Gunfire),Infiltration,Weapons Free,2
13,Company,Infantry,Rookie,Medical Supplies,Centralized (Strict Hierarchy),Adequate,442,Drone Operators,Sniper Teams,Fanatical,Weak,Eliminate Enemy Force,Island,Extreme Heat,Dawn,High,No,Patrolling,Protect Civilians at All Costs,9
4,Fire Team,Infantry,Rookie,Standard Issue,Centralized (Strict Hierarchy),Overstocked,358,Cyber Warfare,Advanced Communication,High,Tactical Genius,Reconnaissance,Desert,Sandstorm,Night,Medium,Yes (Naval Gunfire),Tactical Retreat,Observe and Report,2
4,Battalion,Combat Medic Team,Veteran,Riot Gear,Centralized (Strict Hierarchy),Minimal,48,Cyber Warfare,Sniper Teams,High,Strong,Counter-insurgency,Mountain,Heavy Rain,Night,Low,Yes (Naval Gunfire),Tactical Retreat,Observe and Report,2
6,Fire Team,Infantry,Elite,Basic (Limited Ammo),Centralized,Adequate,113,Light Infantry,Sniper Teams,Low,Incompetent,Infrastructure Protection,Mountain,Blizzard,Dusk,Low,Yes (Naval Gunfire),Static Defense,Non-Lethal Force Only,1
571,Squad,Engineers,Mixed,Advanced Weaponry,Decentralized (Limited Communication),Adequate,408,Light Infantry,Sniper Teams,High,Weak,Infrastructure Protection,Rural,Sandstorm,Dawn,Low,Yes (Air Support),Encirclement,Weapons Free,1
19,Squad,Military Police,Veteran,Specialized Gear,Decentralized,Overstocked,439,Guerrilla,Standard Equipment,Low,Tactical Genius,Rescue/Evacuation,Mountain,Blizzard,Day,Low,Yes (Naval Gunfire),Encirclement,Protect Civilians at All Costs,9
810,Platoon,Mechanized,Veteran,Medical Supplies,Decentralized (Limited Communication),Minimal,144,Mechanized Infantry,Standard Equipment,Medium,Weak,Counter-insurgency,Mountain,Snow,Day,None,Yes (Air Support),Tactical Retreat,Minimize Collateral Damage,5
6,Platoon,Infantry,Mixed,Standard Issue,Centralized,Adequate,62,Light Infantry,Standard Equipment,High,Tactical Genius,Reconnaissance,Urban,Heavy Rain,Dawn,Medium,Yes (Artillery),Encirclement,Protect Civilians at All Costs,3
5,Battalion,Mechanized,Veteran,Specialized Gear,Decentralized (Limited Communication),Well-Supplied,479,Drone Operators,Improvised Explosive Devices (IEDs),Fanatical,Incompetent,Counter-insurgency,Mountain,Heavy Rain,Day,Medium,Yes (Artillery & Close Air Support),Tactical Retreat,Protect Civilians at All Costs,5
39,Squad,Airborne,Veteran,Basic (Limited Ammo),Decentralized (Limited Communication),Adequate,160,Guerrilla,Advanced Communication,Low,Weak,Rescue/Evacuation,Forest,Thunderstorm,Night,None,Yes (Artillery),Tactical Retreat,Return Fire Only,6
37,Battalion,Mechanized,Mixed,Specialized Gear,Decentralized (Limited Communication),Overstocked,403,Guerrilla,Sniper Teams,Medium,Incompetent,Rescue/Evacuation,Suburban,Snow,Dusk,None,Yes (Air & Artillery),Encirclement,Protect Civilians at All Costs,7
753,Fire Team,Engineers,Elite,Basic (Limited Ammo),Centralized (Strict Hierarchy),Minimal,434,Guerrilla,Sniper Teams,Fanatical,Strong,Cyber Defense,Arctic,Extreme Cold,Day,High,Yes (Naval Gunfire),Patrolling,Observe and Report,1
775,Company,Combat Medic Team,Rookie,Riot Gear,Decentralized (Limited Communication),Overstocked,96,Guerrilla,Improvised Explosive Devices (IEDs),High,Strong,Peacekeeping,Jungle,Snow,Day,Low,Yes (Air & Artillery),Static Defense,Weapons Free,2
244,Company,Airborne,Mixed,Standard Issue,Decentralized,Well-Supplied,394,Cyber Warfare,Standard Equipment,Medium,Competent,Secure Objective,Mountain,Sandstorm,Dusk,Low,Yes (Naval Gunfire),Static Defense,Minimize Collateral Damage,6
4,Company,Airborne,Mixed,Advanced Weaponry,Centralized (Flexible),Minimal,337,Armored,Improvised Explosive Devices (IEDs),Fanatical,Charismatic Leader,Infrastructure Protection,Mountain,Extreme Cold,Dusk,Low,Yes (Artillery),Static Defense,Return Fire Only,1
12,Platoon,Armored,Mixed,Standard Issue,Centralized,Adequate,370,Mechanized Infantry,Sniper Teams,Fanatical,Charismatic Leader,Peacekeeping,Urban,Clear,Dawn,None,Yes (Artillery),Guerrilla Tactics,Protect Civilians at All Costs,6
46,Platoon,Airborne,Mixed,Specialized Gear,Centralized (Flexible),Well-Supplied,370,Guerrilla,Improvised Explosive Devices (IEDs),Medium,Competent,Reconnaissance,Forest,Blizzard,Dusk,Low,No,Guerrilla Tactics,Minimize Collateral Damage,3
467,Platoon,Armored,Rookie,Standard Issue,Centralized (Flexible),Adequate,391,Mechanized Infantry,Advanced Communication,Medium,Incompetent,Rescue/Evacuation,Jungle,Thunderstorm,Day,Low,Yes (Artillery & Close Air Support),Aggressive Push,Weapons Free,7
891,Platoon,Engineers,Rookie,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,198,Drone Operators,Sniper Teams,Low,Tactical Genius,Rescue/Evacuation,Rural,Thunderstorm,Dusk,High,Yes (Artillery),Infiltration,Protect Civilians at All Costs,2
8,Battalion,Airborne,Rookie,Basic (Limited Ammo),Decentralized (Limited Communication),Basic,10,Light Infantry,Standard Equipment,Fanatical,Charismatic Leader,Cyber Defense,Arctic,Snow,Day,High,Yes (Air Support),Tactical Retreat,Observe and Report,3
9,Squad,Military Police,Veteran,Advanced Weaponry,Decentralized (Limited Communication),Overstocked,156,Guerrilla,Advanced Communication,High,Weak,Peacekeeping,Desert,Thunderstorm,Night,Low,No,Infiltration,Protect Civilians at All Costs,8
537,Company,Engineers,Mixed,Medical Supplies,Decentralized,Overstocked,12,Mechanized Infantry,Improvised Explosive Devices (IEDs),Medium,Charismatic Leader,Rescue/Evacuation,Coastal,Heavy Rain,Night,High,Yes (Naval Gunfire),Aggressive Push,Protect Civilians at All Costs,4
4,Battalion,Special Forces,Mixed,Advanced Weaponry,Centralized (Strict Hierarchy),Well-Supplied,128,Light Infantry,Sniper Teams,Medium,Charismatic Leader,Counter-insurgency,Suburban,Sandstorm,Dawn,Low,Yes (Naval Gunfire),Aggressive Push,Weapons Free,2
13,Company,Military Police,Veteran,Specialized Gear,Centralized (Strict Hierarchy),Basic,161,Guerrilla,Sniper Teams,Low,Charismatic Leader,Rescue/Evacuation,Urban,Light Rain,Dusk,Low,Yes (Naval Gunfire),Encirclement,Protect Civilians at All Costs,7
228,Company,Reconnaissance,Mixed,Advanced Weaponry,Centralized,Adequate,348,Mechanized Infantry,Improvised Explosive Devices (IEDs),High,Weak,Counter-insurgency,Forest,Fog,Day,Low,Yes (Artillery),Patrolling,Non-Lethal Force Only,6
6,Fire Team,Airborne,Mixed,Basic (Limited Ammo),Decentralized,Minimal,313,Guerrilla,Sniper Teams,Fanatical,Weak,Secure Objective,Desert,Sandstorm,Day,Low,Yes (Artillery),Guerrilla Tactics,Non-Lethal Force Only,3
26,Battalion,Special Forces,Rookie,Advanced Weaponry,Decentralized (Limited Communication),Minimal,14,Special Forces,Advanced Communication,Medium,Competent,Eliminate Enemy Force,Jungle,Light Rain,Day,Low,Yes (Air & Artillery),Encirclement,Observe and Report,1
5,Platoon,Mechanized,Rookie,Specialized Gear,Centralized (Strict Hierarchy),Basic,194,Light Infantry,Improvised Explosive Devices (IEDs),High,Competent,Rescue/Evacuation,Desert,Cloudy,Dawn,Low,Yes (Artillery),Guerrilla Tactics,Observe and Report,6
912,Battalion,Special Forces,Elite,Medical Supplies,Decentralized,Adequate,339,Cyber Warfare,Sniper Teams,High,Charismatic Leader,Rescue/Evacuation,Jungle,Fog,Night,Medium,Yes (Artillery & Close Air Support),Aggressive Push,Protect Civilians at All Costs,8
6,Company,Airborne,Mixed,Medical Supplies,Decentralized,Minimal,273,Light Infantry,Sniper Teams,Low,Weak,Rescue/Evacuation,Jungle,Fog,Dusk,Low,Yes (Naval Gunfire),Patrolling,Non-Lethal Force Only,5
107,Battalion,Combat Medic Team,Veteran,Standard Issue,Centralized,Adequate,162,Irregular Militia,Advanced Communication,Low,Charismatic Leader,Rescue/Evacuation,Urban,Heavy Rain,Dusk,Medium,Yes (Artillery & Close Air Support),Aggressive Push,Protect Civilians at All Costs,5
797,Platoon,Combat Medic Team,Elite,Specialized Gear,Centralized (Flexible),Minimal,450,Cyber Warfare,Improvised Explosive Devices (IEDs),Low,Weak,Secure Objective,Suburban,Sandstorm,Day,Medium,Yes (Air Support),Aggressive Push,Minimize Collateral Damage,3
20,Battalion,Combat Medic Team,Elite,Riot Gear,Centralized (Flexible),Overstocked,93,Armored,Improvised Explosive Devices (IEDs),Fanatical,Incompetent,Cyber Defense,Rural,Fog,Dusk,Low,Yes (Artillery & Close Air Support),Static Defense,Observe and Report,6
12,Battalion,Reconnaissance,Rookie,Standard Issue,Centralized,Basic,222,Mechanized Infantry,Advanced Communication,Low,Competent,Reconnaissance,Jungle,Sandstorm,Day,None,Yes (Naval Gunfire),Infiltration,Minimize Collateral Damage,6
26,Company,Reconnaissance,Mixed,Standard Issue,Centralized (Strict Hierarchy),Well-Supplied,494,Light Infantry,Advanced Communication,High,Incompetent,Reconnaissance,Urban,Thunderstorm,Day,Medium,Yes (Artillery),Aggressive Push,Weapons Free,8
13,Battalion,Military Police,Mixed,Basic (Limited Ammo),Centralized (Strict Hierarchy),Overstocked,277,Cyber Warfare,Advanced Communication,Medium,Weak,Reconnaissance,Mountain,Sandstorm,Dusk,High,Yes (Artillery),Static Defense,Return Fire Only,5
